folio,chrono_period,layer,genre_ru,genre_en,loc_ru,loc_en,date_label_ru,date_label_en,is_keypoint,quote,epistemic,certainty,source_id,source_page,notes
12,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.12,
13,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.13,
14,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.14,
15,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),yes,,reconstruction,approx,KHR2026,Ф.15,
16,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.16,
17,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.17,
18,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.18,
19,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.19,
20,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.20,
21,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.21,
22,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.22,
23,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,yes,,reconstruction,approx,KHR2026,Ф.23,
24,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,yes,,reconstruction,approx,KHR2026,Ф.24,
25,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.25,
26,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,yes,,reconstruction,approx,KHR2026,Ф.26,
27,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.27,
28,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.28,
29,2,notes,Заметки,Notes,Чаул / Джуннар,Chaul / Junnar,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.29,
30,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.30,
31,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.31,
32,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.32,
33,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.33,
34,2,notes,Заметки,Notes,Чаул / Джуннар,Chaul / Junnar,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.34,
35,2,notes,Заметки,Notes,Чаул / Джуннар,Chaul / Junnar,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.35,
36,2,notes,Заметки,Notes,Чаул / Джуннар,Chaul / Junnar,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.36,
37,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.37,
38,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.38,
39,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.39,
40,2,diary,Дневники,Diary,Джуннар / Чаул,Junnar / Chaul,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.40,
41,2,indiyckie_very,«Индийские веры»,Indian Beliefs,Бидар / Парват,Bidar / Parvat,1469 г.,1469,yes,,reconstruction,approx,KHR2026,Ф.41,
42,2,indiyckie_very,«Индийские веры»,Indian Beliefs,Бидар / Парват,Bidar / Parvat,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.42,
43,5,indiyckie_very,«Индийские веры»,Indian Beliefs,Бидар / Парват,Bidar / Parvat,1470–1471 гг.,1470–1471,yes,,reconstruction,approx,KHR2026,Ф.43,
44,5,indiyckie_very,«Индийские веры»,Indian Beliefs,Бидар / Парват,Bidar / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.44,
45,5,indiyckie_very,«Индийские веры»,Indian Beliefs,Бидар / Парват,Bidar / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.45,
46,5,indiyckie_very,«Индийские веры»,Indian Beliefs,Бидар / Парват,Bidar / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.46,
47,5,indiyckie_very,«Индийские веры»,Indian Beliefs,Бидар / Парват,Bidar / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.47,
48,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.48,
49,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.49,
50,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.50,
51,2,notes,Заметки,Notes,Чаул / Джуннар,Chaul / Junnar,1469 г.,1469,,,reconstruction,approx,KHR2026,Ф.51,
52,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,yes,,reconstruction,approx,KHR2026,Ф.52,
53,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.53,
54,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.54,
55,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.55,
56,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.56,
57,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.57,
58,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.58,
59,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.59,
60,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.60,
61,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.61,
62,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.62,
63,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.63,
64,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.64,
65,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.65,
66,1,marshruttnik,«Маршрутник»,Merchant Router,Ормуз — Индия (Южные моря),Ormuz to India (South Seas),1468–1469 гг.,1468–1469,,,reconstruction,approx,KHR2026,Ф.66,
67,6,diary,Дневники,Diary,Гулбарга / Каллур,Gulbarga / Kallur,1472–1473 гг.,1472–1473,,,reconstruction,approx,KHR2026,Ф.67,
68,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.68,
69,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.69,
70,5,diary,Дневники,Diary,Аланд / Парват,Aland / Parvat,1470–1471 гг.,1470–1471,,,reconstruction,approx,KHR2026,Ф.70,
71,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,yes,,reconstruction,approx,KHR2026,Ф.71,
72,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.72,
73,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.73,
74,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.74,
75,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.75,
76,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.76,
77,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.77,
78,3,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.78,
79,4,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.79,
80,4,diary,Дневники,Diary,Бидар,Bidar,1470 г.,1470,,,reconstruction,approx,KHR2026,Ф.80,
81,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,yes,,reconstruction,approx,KHR2026,Ф.81,
82,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.82,
83,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.83,
84,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.84,
85,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.85,
86,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.86,
87,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.87,
88,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.88,
89,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.89,
90,6,diary,Дневники,Diary,Гулбарга / Каллур,Gulbarga / Kallur,1472–1473 гг.,1472–1473,,,reconstruction,approx,KHR2026,Ф.90,
91,6,diary,Дневники,Diary,Гулбарга / Каллур,Gulbarga / Kallur,1472–1473 гг.,1472–1473,,,reconstruction,approx,KHR2026,Ф.91,
92,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.92,
93,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.93,
94,6,war_chronicle,«Летопись войн»,War Chronicle,Бидар,Bidar,1471–1473 гг.,1471–1473,,,reconstruction,approx,KHR2026,Ф.94,
95,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,yes,,reconstruction,approx,KHR2026,Ф.95,
96,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,,,reconstruction,approx,KHR2026,Ф.96,
97,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,,,reconstruction,approx,KHR2026,Ф.97,
98,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,,,reconstruction,approx,KHR2026,Ф.98,
99,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,,,reconstruction,approx,KHR2026,Ф.99,
100,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,,,reconstruction,approx,KHR2026,Ф.100,
101,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,,,reconstruction,approx,KHR2026,Ф.101,
102,7,dorozhnik_end,«Дорожник» (окончание),Road Narrative (End),Ормуз — Кафа,Ormuz to Kaffa,1472–1474 гг.,1472–1474,,,reconstruction,approx,KHR2026,Ф.102,
103,7,prayers,«Заметки и молитвы»,Notes and Prayers,Кафа,Kaffa,Ноябрь 1474 г.,November 1474,,,reconstruction,approx,KHR2026,Ф.103,
104,7,prayers,«Заметки и молитвы»,Notes and Prayers,Кафа,Kaffa,Ноябрь 1474 г.,November 1474,yes,,reconstruction,approx,KHR2026,Ф.104,
