folio,chrono_period,layer,genre_ru,genre_en,loc_ru,loc_en,date_label_ru,date_label_en,is_keypoint,quote,epistemic,certainty,source_id,source_page,notes
1,7,prayers,«Заметки и молитвы»,Notes and Prayers,Кафа,Kaffa,Ноябрь 1474 г.,November 1474,yes,,reconstruction,approx,KHR2026,Ф.1,
2,7,prayers,«Заметки и молитвы»,Notes and Prayers,Кафа,Kaffa,Ноябрь 1474 г.,November 1474,,,reconstruction,approx,KHR2026,Ф.2,
3,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),yes,,reconstruction,approx,KHR2026,Ф.3,
4,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.4,
5,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.5,
6,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.6,
7,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.7,
8,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.8,
9,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.9,
10,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.10,
11,4,dorozhnik_start,«Дорожник» (начало),Road Narrative (Start),Тверь — Джуннар,Tver to Junnar,1467–1469 гг. (записано в 1470 г.),1467–1469 (written 1470),,,reconstruction,approx,KHR2026,Ф.11,
